marca,modelo,numeracao,preco_atacado,preco_varejo,link_imagem1,link_imagem2,min,max
ADIDAS,FÓRUM LOW 84,34-39,"R$ 75,00","R$ 150,00",https://i0.wp.com/rickatacado.com/wp-content/uploads/2025/09/TENIS-ATACADO-ADIDAS-FORUM-84-R900-FR-LOW-1023-2-Photoroom-1024x1024.png?resize=1200%2C1200&strip=info&ssl=1,https://i0.wp.com/rickatacado.com/wp-content/uploads/2025/09/TENIS-ATACADO-ADIDAS-FORUM-84-R900-FR-LOW-1023-Photoroom-1024x1024.png?resize=1200%2C1200&strip=info&ssl=1,34,39
ADIDAS,FÓRUM LOW 84,34-39,"R$ 75,00","R$ 150,00",https://i0.wp.com/rickatacado.com/wp-content/uploads/2025/09/IMG_0333-1024x1024.png?resize=1200%2C1200&strip=info&ssl=1,https://i0.wp.com/rickatacado.com/wp-content/uploads/2025/09/IMG_0334-1024x1024.png?resize=1200%2C1200&strip=info&ssl=1,34,39
ADIDAS,GAZELLE,34-40,"R$ 135,00","R$ 270,00",https://i0.wp.com/rickatacado.com/wp-content/uploads/2025/07/TENIS-ATACADO-ADIDAD-GAZELLE-R-900-GZL-29-1-1024x1024.jpg?resize=1200%2C1200&strip=info&ssl=1,https://i0.wp.com/rickatacado.com/wp-content/uploads/2025/07/TENIS-ATACADO-ADIDAD-GAZELLE-R-900-GZL-29-2-1024x1024.jpg?resize=1200%2C1200&strip=info&ssl=1,34,40
ADIDAS,GAZELLE,34-40,"R$ 135,00","R$ 270,00",https://i0.wp.com/rickatacado.com/wp-content/uploads/2025/07/TENIS-ATACADO-ADIDAD-GAZELLE-R-900-GZL-75-1-1024x1024.jpg?resize=1200%2C1200&strip=info&ssl=1,https://i0.wp.com/rickatacado.com/wp-content/uploads/2025/07/TENIS-ATACADO-ADIDAD-GAZELLE-R-900-GZL-75-2-1024x1024.jpg?resize=1200%2C1200&strip=info&ssl=1,34,40
ADIDAS,GAZELLE,34-40,"R$ 135,00","R$ 270,00",https://i0.wp.com/rickatacado.com/wp-content/uploads/2025/07/TENIS-ATACADO-ADIDAD-GAZELLE-R-900-GZL-834-1-1024x1024.jpg?resize=1200%2C1200&strip=info&ssl=1,https://i0.wp.com/rickatacado.com/wp-content/uploads/2025/07/TENIS-ATACADO-ADIDAD-GAZELLE-R-900-GZL-834-2-1024x1024.jpg?resize=1200%2C1200&strip=info&ssl=1,34,40
ADIDAS,GRAZELL ADV,34-39,"R$ 110,00","R$ 220,00",https://i0.wp.com/rickatacado.com/wp-content/uploads/2025/09/tenis-atacado-adidas-gazelle-R900-ADV-06-1-1024x1024.jpg?resize=1200%2C1200&strip=info&ssl=1,https://i0.wp.com/rickatacado.com/wp-content/uploads/2025/09/tenis-atacado-adidas-gazelle-R900-ADV-06-2-1024x1024.jpg?resize=1200%2C1200&strip=info&ssl=1,34,39
ADIDAS,GRAZELL ADV,34-39,"R$ 110,00","R$ 220,00",https://i0.wp.com/rickatacado.com/wp-content/uploads/2025/09/tenis-atacado-adidas-gazelle-R900-ADV-65-1-1024x1024.jpg?resize=1200%2C1200&strip=info&ssl=1,https://i0.wp.com/rickatacado.com/wp-content/uploads/2025/09/tenis-atacado-adidas-gazelle-R900-ADV-65-2-1024x1024.jpg?resize=1200%2C1200&strip=info&ssl=1,34,39
ADIDAS,GRAZELL ADV,34-39,"R$ 110,00","R$ 220,00",https://i0.wp.com/rickatacado.com/wp-content/uploads/2025/09/tenis-atacado-adidas-gazelle-R900-ADV-71-1-1024x1024.jpg?resize=1200%2C1200&strip=info&ssl=1,https://i0.wp.com/rickatacado.com/wp-content/uploads/2025/09/tenis-atacado-adidas-gazelle-R900-ADV-71-2-1024x1024.jpg?resize=1200%2C1200&strip=info&ssl=1,34,39
ADIDAS,GRAZELL ADV,34-39,"R$ 110,00","R$ 220,00",https://i0.wp.com/rickatacado.com/wp-content/uploads/2025/09/tenis-atacado-adidas-gazelle-R900-ADV-641-1-1024x1024.jpg?resize=1200%2C1200&strip=info&ssl=1,https://i0.wp.com/rickatacado.com/wp-content/uploads/2025/09/tenis-atacado-adidas-gazelle-R900-ADV-641-2-1024x1024.jpg?resize=1200%2C1200&strip=info&ssl=1,34,39
ADIDAS,SAMBA,34-43,"R$ 70,00","R$ 140,00",https://i0.wp.com/rickatacado.com/wp-content/uploads/2025/07/TENIS-ATACADO-ADIDAS-SAMBA-R900-SMB-01-1-3-1024x1024.jpg?resize=1200%2C1200&strip=info&ssl=1,https://i0.wp.com/rickatacado.com/wp-content/uploads/2025/07/TENIS-ATACADO-ADIDAS-SAMBA-R900-SMB-01-2-3-1024x1024.jpg?resize=1200%2C1200&strip=info&ssl=1,34,43
ADIDAS,SAMBA,34-43,"R$ 70,00","R$ 140,00",https://i0.wp.com/rickatacado.com/wp-content/uploads/2025/07/TENIS-ATACADO-ADIDAS-SAMBA-R900-SMB-71-1-3-1024x1024.jpg?resize=1200%2C1200&strip=info&ssl=1,https://i0.wp.com/rickatacado.com/wp-content/uploads/2025/07/TENIS-ATACADO-ADIDAS-SAMBA-R900-SMB-71-2-3-1024x1024.jpg?resize=1200%2C1200&strip=info&ssl=1,34,43
ADIDAS,SAMBA,34-43,"R$ 70,00","R$ 140,00",https://i0.wp.com/rickatacado.com/wp-content/uploads/2025/07/TENIS-ATACADO-ADIDAS-SAMBA-R900-SMB-90-1-3-1024x1024.jpg?resize=1200%2C1200&strip=info&ssl=1,https://i0.wp.com/rickatacado.com/wp-content/uploads/2025/07/TENIS-ATACADO-ADIDAS-SAMBA-R900-SMB-90-2-3-1024x1024.jpg?resize=1200%2C1200&strip=info&ssl=1,34,43
ADIDAS,SAMBA,34-43,"R$ 70,00","R$ 140,00",https://i0.wp.com/rickatacado.com/wp-content/uploads/2025/07/TENIS-ATACADO-ADIDAS-SAMBA-R900-SMB-93-1-3-1024x1024.jpg?resize=1200%2C1200&strip=info&ssl=1,https://i0.wp.com/rickatacado.com/wp-content/uploads/2025/07/TENIS-ATACADO-ADIDAS-SAMBA-R900-SMB-93-2-3-1024x1024.jpg?resize=1200%2C1200&strip=info&ssl=1,34,43
ADIDAS,SAMBA,34-43,"R$ 70,00","R$ 140,00",https://i0.wp.com/rickatacado.com/wp-content/uploads/2025/07/TENIS-ATACADO-ADIDAS-SAMBA-R900-SMB-333-2-3-1024x1024.jpg?resize=1200%2C1200&strip=info&ssl=1,https://i0.wp.com/rickatacado.com/wp-content/uploads/2025/07/TENIS-ATACADO-ADIDAS-SAMBA-R900-SMB-333-1-3-1024x1024.jpg?resize=1200%2C1200&strip=info&ssl=1,34,43
ADIDAS,SAMBA,34-43,"R$ 70,00","R$ 140,00",https://i0.wp.com/rickatacado.com/wp-content/uploads/2025/07/TENIS-ATACADO-ADIDAS-SAMBA-R900-SMB-70-1-1024x1024.jpg?resize=1200%2C1200&strip=info&ssl=1,https://i0.wp.com/rickatacado.com/wp-content/uploads/2025/07/TENIS-ATACADO-ADIDAS-SAMBA-R900-SMB-70-2-1024x1024.jpg?resize=1200%2C1200&strip=info&ssl=1,34,43
